,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
122,C-Coal_ST,4,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
123,C-NG_CC,4,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
124,C-NG_GT,4,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
125,C-Biomass_IGCC,4,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
126,C-Residential_PV,4,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
127,C-Commercial_PV,4,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
128,C-Central_PV-1,4,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
129,C-Central_PV-2,4,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
130,C-Wind-1,4,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
131,C-Wind-2,4,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,149.77545016980793,0.0,6.069345809259257,0.0
132,C-Coal_IGCC,5,Central,Coal_IGCC,2020,299.552540599934,0.0,299.552540599934,0.0,0.0,299.552540599934,1.0,12.651727991698316,271.69506953999917
133,C-Coal_ST,5,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
134,C-NG_CC,5,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
135,C-NG_GT,5,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
136,C-Biomass_IGCC,5,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
137,C-Residential_PV,5,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
138,C-Commercial_PV,5,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
139,C-Central_PV-1,5,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
140,C-Central_PV-2,5,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
141,C-Wind-1,5,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
142,C-Wind-2,5,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,12.651727991698316,0.0
143,C-Coal_IGCC,6,Central,Coal_IGCC,2020,299.552540599934,0.0,299.552540599934,0.0,0.0,299.552540599934,1.0,11.094846686793705,273.16943613574387
144,C-Coal_ST,6,Central,Coal_ST,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
145,C-NG_CC,6,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
146,C-NG_GT,6,Central,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
147,C-Biomass_IGCC,6,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
148,C-Residential_PV,6,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
149,C-Commercial_PV,6,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
150,C-Central_PV-1,6,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
151,C-Central_PV-2,6,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
152,C-Wind-1,6,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
153,C-Wind-2,6,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,299.552540599934,0.0,11.094846686793705,0.0
154,C-Coal_IGCC,7,Central,Coal_IGCC,2030,1198.210162399736,0.0,1198.210162399736,0.0,0.0,1724.6546567716605,0.6947536758707605,72.63368048551968,1086.9170206582078
155,C-NG_CC,7,Central,NG_CC,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
156,C-NG_GT,7,Central,NG_GT,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
157,C-Nuclear,7,Central,Nuclear,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
158,C-Biomass_IGCC,7,Central,Biomass_IGCC,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
159,C-Residential_PV,7,Central,Residential_PV,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
160,C-Commercial_PV,7,Central,Commercial_PV,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
161,C-Central_PV-1,7,Central,Central_PV,2030,0.0,0.0,0.0,0.0,0.0,1724.6546567716605,0.0,72.63368048551968,0.0
162,C-Central_PV-2,7,Central,Central_PV,2030,85.96956174344466,0.0,85.96956174344466,0.0,0.0,1724.6546567716605,0.04984740649723406,72.63368048551968,77.98446620610743
163,C-Wind-1,7,Central,Wind,2030,215.6691094284797,0.0,215.6691094284797,0.0,0.0,1724.6546567716605,0.1250506056860018,72.63368048551968,195.63715383496213
164,C-Wind-2,7,Central,Wind,2030,224.8058232,0.0,224.8058232,0.0,0.0,1724.6546567716605,0.1303483119460035,72.63368048551968,203.9252238436979
165,S-Geothermal,1,South,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
166,S-NG_CC,1,South,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
167,S-NG_GT,1,South,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
168,S-Biomass_IGCC,1,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
169,S-Residential_PV,1,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
170,S-Commercial_PV,1,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
171,S-Central_PV-1,1,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
172,S-Central_PV-2,1,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
173,S-Geothermal,2,South,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
174,S-NG_CC,2,South,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
175,S-NG_GT,2,South,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
176,S-Biomass_IGCC,2,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
177,S-Residential_PV,2,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
178,S-Commercial_PV,2,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
179,S-Central_PV-1,2,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
180,S-Central_PV-2,2,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
181,S-Geothermal,3,South,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
182,S-NG_CC,3,South,NG_CC,2020,4.69769866948257,0.0,4.69769866948257,0.0,0.0,4.69769866948257,1.0,0.0,4.448720639999993
183,S-NG_GT,3,South,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
184,S-Biomass_IGCC,3,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
185,S-Residential_PV,3,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
186,S-Commercial_PV,3,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
187,S-Central_PV-1,3,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
188,S-Central_PV-2,3,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,4.69769866948257,0.0,0.0,0.0
189,S-Geothermal,4,South,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
190,S-NG_CC,4,South,NG_CC,2020,7.842996916578674,0.0,7.842996916578674,0.0,0.0,7.842996916578674,1.0,0.0,7.427318080000004
191,S-NG_GT,4,South,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
192,S-Biomass_IGCC,4,South,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
193,S-Residential_PV,4,South,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
194,S-Commercial_PV,4,South,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
195,S-Central_PV-1,4,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
196,S-Central_PV-2,4,South,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,7.842996916578674,0.0,0.0,0.0
197,S-Geothermal,5,South,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,23.141499472016907,0.0,0.0,0.0
198,S-NG_CC,5,South,NG_CC,2020,23.141499472016907,0.0,23.141499472016907,0.0,0.0,23.141499472016907,1.0,0.0,21.91500000000001
199,S-NG_GT,5,South,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,23.141499472016907,0.0,0.0,0.0
