generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
C-Residential_PV,2035011512,C-Residential_PV,Residential_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Commercial_PV,2025011500,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011512,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011600,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011612,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025061500,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Commercial_PV,2025061512,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Commercial_PV,2035011512,C-Commercial_PV,Commercial_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Central_PV-1,2025011500,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011512,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011600,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011612,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025061500,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-1,2025061512,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-1,2035011512,C-Central_PV-1,Central_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Central_PV-2,2025011500,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-2,2025011512,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,-5.55E-17,-6.08E-17,0,0,-6.0826E-16
C-Central_PV-2,2025011600,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-2,2025011612,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,-2.60E-15,-2.84E-15,0,0,-2.84346E-14
C-Central_PV-2,2025061500,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-2,2025061512,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-2,2035011512,C-Central_PV-2,Central_PV,Central,Solar,8766,2030,0,0,0,0,0
